"","ê´ï ","îNóÓäKëw","ä«óùìIêEã∆è]éñé“","êÍñÂìIÅEãZèpìIêEã∆è]éñé“","éññ±è]éñé“","îÃîÑè]éñé“","ÉTÅ[ÉrÉXêEã∆è]éñé“","ï€à¿êEã∆è]éñé“","î_ó—ãôã∆è]éñé“","ê∂éYçHíˆè]éñé“","óAëóÅEã@äBâ^ì]è]éñé“","åöê›ÅEçÃå@è]éñé“","â^î¿ÅEê¥ë|ÅEïÔëïìôè]éñé“","ï™óﬁïsî\ÇÃêEã∆","ñ≥êEÇªÇÃëº"
"1","íj","15-19",0,0.004628157,0.004318434,0.02000303,0.029301798,0.003855618,0.001770535,0.028222109,0.001491045,0.009279471,0.012770047,0.011939294,0.872420462
"2","íj","20-24",0.000340453,0.058315678,0.043363317,0.086224833,0.088571262,0.023744734,0.009176301,0.136129617,0.012698699,0.033051154,0.039897558,0.048029539,0.420456856
"3","íj","25-29",0.001905885,0.123185569,0.081593608,0.116871715,0.067796528,0.028577713,0.013211446,0.163024149,0.025997075,0.050942338,0.043591299,0.062237606,0.221065069
"4","íj","30-34",0.00585002,0.134872901,0.096841965,0.118805897,0.058053627,0.025120996,0.013604087,0.168757911,0.036618478,0.065951025,0.043862004,0.056694237,0.17496685
"5","íj","35-39",0.011510625,0.125739729,0.116960956,0.128827128,0.04660471,0.020944332,0.012381109,0.167902528,0.047384085,0.07110249,0.043041363,0.050598349,0.157002595
"6","íj","40-44",0.019090191,0.132879357,0.130376388,0.129132176,0.039476863,0.019246541,0.013564298,0.15569673,0.054859643,0.063270062,0.040488595,0.047060989,0.154858165
"7","íj","45-49",0.029068744,0.140433553,0.146886433,0.124893712,0.035382596,0.023588811,0.017896116,0.143454927,0.05584899,0.058521801,0.03852984,0.040125433,0.145369043
"8","íj","50-54",0.040650193,0.127416804,0.150454276,0.11548188,0.03578561,0.027978442,0.025072082,0.134090513,0.058312001,0.068129629,0.040665943,0.032055011,0.143907616
"9","íj","55-59",0.049956047,0.098641419,0.131762904,0.096853893,0.038846747,0.027745377,0.033130581,0.134348799,0.06457486,0.076802063,0.045312536,0.027405318,0.174619457
"10","íj","60-64",0.049167478,0.064514595,0.083628427,0.075304016,0.04338571,0.020654133,0.042231552,0.099052773,0.062895846,0.060406246,0.049948501,0.021926979,0.326883744
